true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,28,0,0,0,0,7,1,0
2,0,33,0,1,1,0,1,0
3,0,1,33,0,0,0,2,0
4,0,2,0,31,1,1,0,1
5,0,0,1,4,30,0,0,1
6,2,0,0,0,0,33,1,0
7,2,0,2,0,0,0,30,2
8,0,2,0,6,0,0,0,28
