subject_id,correct,total,accuracy
1,15,16,0.9375
2,16,16,1.0
3,16,16,1.0
4,14,16,0.875
5,13,16,0.8125
6,14,16,0.875
7,15,16,0.9375
8,15,16,0.9375
9,16,16,1.0
10,16,16,1.0
11,14,16,0.875
12,15,16,0.9375
13,14,16,0.875
14,15,16,0.9375
15,15,16,0.9375
16,13,16,0.8125
17,15,16,0.9375
18,14,16,0.875
