true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,29,0,0,0,0,7,0,0
2,0,33,2,1,0,0,0,0
3,0,0,35,0,0,0,1,0
4,0,2,0,29,2,0,1,2
5,0,0,1,2,31,0,1,1
6,1,0,0,0,0,34,1,0
7,1,1,0,0,0,0,33,1
8,0,1,0,2,0,0,1,32
