true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,33,0,1,0,0,1,1,0
2,0,34,0,0,0,0,2,0
3,0,1,34,0,1,0,0,0
4,0,2,0,29,1,0,1,3
5,0,0,1,3,31,0,0,1
6,3,0,0,0,0,33,0,0
7,0,0,0,0,0,2,31,3
8,0,1,2,6,1,0,1,25
