true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,28,0,1,0,0,7,0,0
2,0,33,1,2,0,0,0,0
3,0,1,35,0,0,0,0,0
4,0,2,0,31,1,1,0,1
5,0,0,1,4,28,0,1,2
6,3,0,0,0,0,32,1,0
7,1,0,2,0,0,0,30,3
8,0,2,0,5,1,0,0,28
