label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.7777777777777778,0.875,0.7777777777777778,0.823529411764706,36
1,2,0.9166666666666666,0.868421052631579,0.9166666666666666,0.8918918918918918,36
2,3,0.9722222222222222,0.875,0.9722222222222222,0.9210526315789473,36
3,4,0.8611111111111112,0.7380952380952381,0.8611111111111112,0.7948717948717949,36
4,5,0.7777777777777778,0.9333333333333333,0.7777777777777778,0.8484848484848485,36
5,6,0.8888888888888888,0.8,0.8888888888888888,0.8421052631578948,36
6,7,0.8333333333333334,0.9375,0.8333333333333334,0.8823529411764706,36
7,8,0.7777777777777778,0.8235294117647058,0.7777777777777778,0.7999999999999999,36
