subject_id,correct,total,accuracy
1,16,16,1.0
2,16,16,1.0
3,16,16,1.0
4,14,16,0.875
5,12,16,0.75
6,14,16,0.875
7,16,16,1.0
8,15,16,0.9375
9,15,16,0.9375
10,15,16,0.9375
11,13,16,0.8125
12,15,16,0.9375
13,13,16,0.8125
14,14,16,0.875
15,16,16,1.0
16,14,16,0.875
17,15,16,0.9375
18,15,16,0.9375
