epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds
1,2.073837261351328,0.12896825396825398,2.0805736117892795,0.125,0.000999938933078422,0.4815022274851799
2,2.043563271325732,0.17956349206349206,2.08048947652181,0.125,0.000999755747381037,0.4803425371646881
3,2.0003931522369385,0.20238095238095238,2.0804061889648438,0.125,0.000999450488106175,0.48072726279497147
4,1.9539179120744978,0.21428571428571427,2.0803277757432728,0.125,0.0009990232305719944,0.4803282096982002
5,1.9085902637905545,0.25,2.080251693725586,0.125,0.0009984740801978983,0.48014741390943527
6,1.8719861469571553,0.2638888888888889,2.0801859961615667,0.125,0.0009978031724785245,0.4808974415063858
7,1.829577854701451,0.29662698412698413,2.0801302591959634,0.125,0.000997010672950314,0.4814777746796608
8,1.801918521760002,0.31547619047619047,2.080081303914388,0.125,0.0009960967771506664,0.4810478314757347
9,1.7638959581889804,0.3273809523809524,2.079923841688368,0.125,0.0009950617105696957,0.480886772274971
10,1.734641983395531,0.33630952380952384,2.051751878526476,0.14583333333333334,0.0009939057285945929,0.4809424430131912
11,1.712396542231242,0.3492063492063492,1.9424317677815754,0.2777777777777778,0.0009926291164466126,0.480499692261219
12,1.686726836931138,0.3759920634920635,1.8262725406222873,0.2777777777777778,0.0009912321891107005,0.48039690405130386
13,1.6744444597335089,0.37103174603174605,1.8521643744574652,0.25,0.0009897152912577737,0.48061228543519974
14,1.6469597740778847,0.40575396825396826,1.743483755323622,0.2847222222222222,0.0009880787971596797,0.4807519391179085
15,1.6433025749902876,0.3948412698412698,1.6699682871500652,0.375,0.0009863231105968495,0.4806073307991028
16,1.6100363447552635,0.42162698412698413,1.6578628751966689,0.3472222222222222,0.000984448664758672,0.48060619086027145
17,1.5823692745632596,0.4246031746031746,1.6320309109157987,0.3263888888888889,0.0009824559221366096,0.4808034747838974
18,1.5553540559042067,0.45634920634920634,1.5985929701063368,0.3611111111111111,0.0009803453744100864,0.4811846762895584
19,1.5371110760976399,0.4662698412698413,1.5546399222479925,0.3888888888888889,0.0009781175423251728,0.48171910643577576
20,1.5111084987246801,0.4880952380952381,1.5276349385579426,0.4305555555555556,0.0009757729755661004,0.4801350235939026
21,1.4850711235924372,0.5049603174603174,1.5189892450968425,0.4444444444444444,0.0009733122526196342,0.48021700233221054
