subject_id,correct,total,accuracy
1,16,16,1.0
2,15,16,0.9375
3,13,16,0.8125
4,14,16,0.875
5,11,16,0.6875
6,15,16,0.9375
7,16,16,1.0
8,14,16,0.875
9,16,16,1.0
10,16,16,1.0
11,15,16,0.9375
12,16,16,1.0
13,16,16,1.0
14,15,16,0.9375
15,14,16,0.875
16,15,16,0.9375
17,16,16,1.0
18,14,16,0.875
