true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,35,0,0,0,0,1,0,0
2,0,35,1,0,0,0,0,0
3,0,1,35,0,0,0,0,0
4,0,3,0,33,0,0,0,0
5,0,0,0,0,35,0,0,1
6,1,0,0,0,0,35,0,0
7,1,1,0,0,0,1,32,1
8,0,0,0,1,1,0,1,33
