subject_id,correct,total,accuracy
1,16,16,1.0
2,16,16,1.0
3,16,16,1.0
4,16,16,1.0
5,14,16,0.875
6,16,16,1.0
7,16,16,1.0
8,14,16,0.875
9,16,16,1.0
10,16,16,1.0
11,12,16,0.75
12,16,16,1.0
13,14,16,0.875
14,15,16,0.9375
15,15,16,0.9375
16,13,16,0.8125
17,16,16,1.0
18,16,16,1.0
