label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
1,2,0.9444444444444444,0.85,0.9444444444444444,0.8947368421052632,36
2,3,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9014084507042254,36
3,4,0.8333333333333334,0.8108108108108109,0.8333333333333334,0.8219178082191781,36
4,5,0.8888888888888888,0.8648648648648649,0.8888888888888888,0.8767123287671232,36
5,6,0.9444444444444444,0.85,0.9444444444444444,0.8947368421052632,36
6,7,0.8611111111111112,0.8857142857142857,0.8611111111111112,0.8732394366197184,36
7,8,0.75,0.8709677419354839,0.75,0.8059701492537312,36
