true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,30,0,1,0,0,4,1,0
2,0,34,0,1,0,0,1,0
3,0,3,32,0,0,0,1,0
4,0,1,0,30,2,0,1,2
5,0,0,1,2,32,0,0,1
6,2,0,0,0,0,34,0,0
7,1,1,0,0,0,2,31,1
8,0,1,1,4,3,0,0,27
