label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
1,2,0.9722222222222222,0.8974358974358975,0.9722222222222222,0.9333333333333333,36
2,3,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9014084507042254,36
3,4,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,36
4,5,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.9142857142857143,36
5,6,0.9166666666666666,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
6,7,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
7,8,0.8888888888888888,0.8648648648648649,0.8888888888888888,0.8767123287671232,36
