epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds
1,2.0779789667280895,0.125,2.0801463656955295,0.125,0.000999938933078422,5.403565019369125
2,2.04737863464961,0.14583333333333334,2.0801111857096353,0.125,0.000999755747381037,0.5163104012608528
3,2.0016552153087797,0.18154761904761904,2.080083211263021,0.125,0.000999450488106175,0.4768082797527313
4,1.949963476922777,0.19543650793650794,2.0800552368164062,0.125,0.0009990232305719944,0.47606638073921204
5,1.9097268089415536,0.2490079365079365,2.0800306532118054,0.125,0.0009984740801978983,0.4762660041451454
6,1.875598570657155,0.2400793650793651,2.0800054338243275,0.125,0.0009978031724785245,0.4768385961651802
7,1.8388960853455558,0.2648809523809524,2.0799853006998696,0.125,0.000997010672950314,0.47655826807022095
8,1.7954002183581155,0.3005952380952381,2.0799732208251953,0.125,0.0009960967771506664,0.4755708947777748
9,1.7638886258715676,0.32043650793650796,2.0799331665039062,0.125,0.0009950617105696957,0.4770837426185608
10,1.7374507378018091,0.3392857142857143,2.079485151502821,0.125,0.0009939057285945929,0.47788291424512863
11,1.700470555396307,0.36408730158730157,2.0753601921929254,0.125,0.0009926291164466126,0.47727902978658676
12,1.672243426716517,0.3759920634920635,2.0577799479166665,0.14583333333333334,0.0009912321891107005,0.47658463567495346
13,1.6377101928468734,0.4087301587301587,2.0327462090386286,0.1527777777777778,0.0009897152912577737,0.47694510966539383
14,1.6092587879725866,0.435515873015873,1.9905961354573567,0.2152777777777778,0.0009880787971596797,0.4764726534485817
15,1.5862574104278806,0.4494047619047619,1.9149532318115234,0.2777777777777778,0.0009863231105968495,0.4769706204533577
16,1.5571879129561166,0.4593253968253968,1.8100081549750433,0.3611111111111111,0.000984448664758672,0.47736088186502457
17,1.5321368925155154,0.4871031746031746,1.7663987477620442,0.3125,0.0009824559221366096,0.47697488963603973
18,1.506084542425852,0.5069444444444444,1.6553052266438801,0.4375,0.0009803453744100864,0.4762761816382408
19,1.477781195489187,0.5148809523809523,1.6282421747843425,0.3958333333333333,0.0009781175423251728,0.47725100815296173
20,1.454475750998845,0.5198412698412699,1.5233097076416016,0.4722222222222222,0.0009757729755661004,0.47710592299699783
21,1.4254115952385797,0.5396825396825397,1.496390660603841,0.4722222222222222,0.0009733122526196342,0.47673892229795456
22,1.4081448032742454,0.5505952380952381,1.47076416015625,0.5138888888888888,0.000970735980632341,0.4773738384246826
23,1.391743294776432,0.558531746031746,1.5256775750054254,0.4513888888888889,0.0009680447952607838,0.47802647948265076
24,1.3593040572272406,0.5525793650793651,1.4380324681599934,0.5277777777777778,0.0009652393605146839,0.4771784469485283
25,1.34396683602106,0.5882936507936508,1.4312002393934462,0.4930555555555556,0.0009623203685930864,0.48098036646842957
26,1.3256854613622029,0.5912698412698413,1.338883399963379,0.5763888888888888,0.00095928853971357,0.4793902710080147
27,1.2943575344388447,0.6021825396825397,1.318653530544705,0.5555555555555556,0.0009561446219345448,0.47730501741170883
28,1.2714552917177715,0.628968253968254,1.268673578898112,0.6111111111111112,0.0009528893909706791,0.47785165160894394
29,1.2472600823356992,0.6359126984126984,1.249995019700792,0.6111111111111112,0.0009495236500015041,0.4775003641843796
30,1.2218084524548243,0.6537698412698413,1.224326451619466,0.6180555555555556,0.0009460482294732414,0.47793249785900116
31,1.1966889888521224,0.6676587301587301,1.1834821701049805,0.6666666666666666,0.0009424639868939027,0.47732120007276535
32,1.1790773338741727,0.6736111111111112,1.1730276743570964,0.6319444444444444,0.0009387718066217117,0.4780934080481529
33,1.155018104447259,0.6716269841269841,1.163892428080241,0.6388888888888888,0.000934972599646904,0.4789838567376137
34,1.1348644551776705,0.6815476190476191,1.1836825476752386,0.6041666666666666,0.0009310673033669515,0.47859785705804825
35,1.1072008117796883,0.6934523809523809,1.1169370015462239,0.6666666666666666,0.0009270568813552751,0.4775833934545517
36,1.0840911789545937,0.7073412698412699,1.0961473253038194,0.6388888888888888,0.0009229423231234969,0.4777005687355995
37,1.0569225719996862,0.7093253968253969,1.0354154374864366,0.625,0.0009187246438772933,0.478309690952301
38,1.0276347493368483,0.7212301587301587,1.0537883970472548,0.6736111111111112,0.0009144048842659075,0.4782072380185127
39,1.0022191405296326,0.7271825396825397,0.9962198469373915,0.6736111111111112,0.0009099841101253861,0.4776739776134491
40,0.9734836230202327,0.7371031746031746,0.9763804541693794,0.6597222222222222,0.0009054634122155986,0.47833525389432907
41,0.9447294341193305,0.748015873015873,0.940032958984375,0.6944444444444444,0.0009008439059511095,0.4779307022690773
42,0.9205042180560884,0.7529761904761905,0.9075658586290147,0.7222222222222222,0.0008961267311259662,0.4783284291625023
43,0.8958736468875219,0.7757936507936508,0.8670618269178603,0.7083333333333334,0.0008913130516324728,0.47830309718847275
44,0.8772014076747592,0.7728174603174603,0.8556769688924154,0.7361111111111112,0.0008864040551740152,0.47853466868400574
45,0.8714944322903951,0.7767857142857143,0.8221004274156358,0.7430555555555556,0.000881400952972015,0.47786745429039
46,0.8303617844505916,0.808531746031746,0.7862010531955295,0.7708333333333334,0.0008763049794670771,0.48110127449035645
47,0.816928333706326,0.814484126984127,0.7541749742296007,0.7708333333333334,0.0008711173920144113,0.4788485988974571
48,0.7850284926475041,0.8392857142857143,0.8547357983059354,0.6736111111111112,0.0008658394705735983,0.4795931503176689
49,0.7735124069546896,0.8462301587301587,0.7641577190823026,0.7638888888888888,0.0008604725173927781,0.4783233404159546
50,0.7531968516016764,0.8432539682539683,0.7436694039238824,0.7847222222222222,0.0008550178566873405,0.4794197976589203
51,0.7304545981543404,0.8432539682539683,0.6879692077636719,0.8055555555555556,0.0008494768343131951,0.4770512804389
52,0.7074841128455268,0.876984126984127,0.6592378616333008,0.8194444444444444,0.0008438508174347005,0.4780263304710388
53,0.7111539698782421,0.8621031746031746,0.6645567152235243,0.7638888888888888,0.0008381411941873374,0.47909245640039444
54,0.6905240312455192,0.873015873015873,0.6069352891710069,0.7777777777777778,0.0008323493733352073,0.4790118411183357
55,0.6672456075274755,0.878968253968254,0.5989623599582248,0.8263888888888888,0.0008264767839234405,0.4816611558198929
56,0.6339037418365479,0.9077380952380952,0.601424323187934,0.8333333333333334,0.000820524874925601,0.48404640704393387
57,0.6369205713272095,0.8908730158730159,0.5824017524719238,0.8541666666666666,0.0008144951148861737,0.48060988634824753
58,0.6300858013213627,0.8869047619047619,0.5865341822306315,0.8125,0.0008083889915582231,0.4804188385605812
59,0.6083028373264131,0.9146825396825397,0.5355499055650499,0.8194444444444444,0.0008022080115363123,0.478276826441288
60,0.5944657514965723,0.9136904761904762,0.5480439927842882,0.8263888888888888,0.0007959536998847739,0.47773075103759766
61,0.5754825576903329,0.935515873015873,0.5181844499376085,0.8611111111111112,0.0007896275997614226,0.48027798533439636
62,0.559641472877018,0.9345238095238095,0.5072574085659451,0.8888888888888888,0.0007832312720368044,0.47850918769836426
63,0.5519301096598307,0.933531746031746,0.4938817554050022,0.8680555555555556,0.0007767662949090749,0.47880619764328003
64,0.5424110492070516,0.9464285714285714,0.49051406648423934,0.9027777777777778,0.000770234263514603,0.4794391989707947
65,0.554411458590674,0.9196428571428571,0.5260467529296875,0.8541666666666666,0.0007636367895343944,0.47750797122716904
66,0.5363635903313047,0.9404761904761905,0.45263444052802193,0.8888888888888888,0.0007569755007964335,0.4755493924021721
67,0.5365235200003972,0.9384920634920635,0.44942845238579643,0.8819444444444444,0.0007502520408740415,0.4786747694015503
68,0.5128560789993831,0.9583333333333334,0.4444695578681098,0.8819444444444444,0.0007434680686803488,0.4812255948781967
69,0.5019040949760921,0.9603174603174603,0.44222352239820695,0.9027777777777778,0.0007366252580589837,0.4798661023378372
