subject_id,correct,total,accuracy
1,16,16,1.0
2,16,16,1.0
3,14,16,0.875
4,14,16,0.875
5,15,16,0.9375
6,14,16,0.875
7,15,16,0.9375
8,14,16,0.875
9,13,16,0.8125
10,16,16,1.0
11,15,16,0.9375
12,15,16,0.9375
13,15,16,0.9375
14,14,16,0.875
15,12,16,0.75
16,15,16,0.9375
17,16,16,1.0
18,15,16,0.9375
