true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,33,0,1,0,0,2,0,0
2,0,35,0,0,0,0,0,1
3,0,0,36,0,0,0,0,0
4,0,1,0,34,0,0,0,1
5,0,0,1,0,34,0,0,1
6,1,0,0,0,0,35,0,0
7,2,2,0,1,0,2,29,0
8,0,0,0,4,0,0,0,32
