epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds
1,2.0720601800888305,0.12896825396825398,2.0800997416178384,0.125,0.000999938933078422,5.38567940145731
2,2.026222512835548,0.1775793650793651,2.080082575480143,0.125,0.000999755747381037,0.5242625549435616
3,1.9738664570308866,0.18055555555555555,2.080084482828776,0.125,0.000999450488106175,0.4768967926502228
4,1.9265720541515048,0.23412698412698413,2.0800849066840277,0.125,0.0009990232305719944,0.47767431288957596
5,1.8854300162148854,0.25793650793650796,2.080097198486328,0.125,0.0009984740801978983,0.47836191952228546
6,1.8521792188523307,0.2708333333333333,2.0801060994466147,0.125,0.0009978031724785245,0.48068177700042725
7,1.8199374486529638,0.2916666666666667,2.080121782090929,0.125,0.000997010672950314,0.47688616812229156
8,1.7910085916519165,0.32043650793650796,2.0801480611165366,0.125,0.0009960967771506664,0.47709859907627106
9,1.7614943640572684,0.34325396825396826,2.0801707373725042,0.125,0.0009950617105696957,0.475264236330986
10,1.740240176518758,0.3482142857142857,2.0794429779052734,0.13194444444444445,0.0009939057285945929,0.47701428830623627
11,1.7122186441270133,0.3759920634920635,2.065717485215929,0.13194444444444445,0.0009926291164466126,0.47773945331573486
12,1.6814574968247187,0.3978174603174603,2.036624484592014,0.19444444444444445,0.0009912321891107005,0.4763616919517517
13,1.6627747274580456,0.4007936507936508,2.0029724968804254,0.2152777777777778,0.0009897152912577737,0.47593577951192856
14,1.6375024659293038,0.4226190476190476,1.9533653259277344,0.24305555555555555,0.0009880787971596797,0.4766957685351372
15,1.6112910679408483,0.44742063492063494,1.8814676072862413,0.2708333333333333,0.0009863231105968495,0.4773082956671715
16,1.5927393701341417,0.44841269841269843,1.8204597896999783,0.2986111111111111,0.000984448664758672,0.4764327183365822
17,1.5640008184644911,0.44543650793650796,1.7336823145548503,0.3541666666666667,0.0009824559221366096,0.47645605355501175
18,1.5422692185356504,0.4781746031746032,1.7076699998643663,0.3402777777777778,0.0009803453744100864,0.4765685796737671
19,1.5206746184636677,0.48412698412698413,1.6110399034288194,0.4236111111111111,0.0009781175423251728,0.47637708485126495
20,1.4987680155133445,0.49404761904761907,1.6002589331732855,0.3958333333333333,0.0009757729755661004,0.4766147956252098
21,1.486663854311383,0.5178571428571429,1.6013267305162218,0.4097222222222222,0.0009733122526196342,0.4762529954314232
22,1.4652372466193304,0.5257936507936508,1.5232787662082248,0.3958333333333333,0.000970735980632341,0.47684963047504425
23,1.4569020687587677,0.5238095238095238,1.4794382519192166,0.4444444444444444,0.0009680447952607838,0.4764202982187271
24,1.4294393327501085,0.5198412698412699,1.4548313352796767,0.4861111111111111,0.0009652393605146839,0.47890405356884
25,1.4167364589751712,0.5367063492063492,1.4325415293375652,0.4652777777777778,0.0009623203685930864,0.47694894671440125
26,1.3921664574789623,0.5515873015873016,1.388682895236545,0.5138888888888888,0.00095928853971357,0.4771096855401993
27,1.3785489778670053,0.5654761904761905,1.366299311319987,0.5347222222222222,0.0009561446219345448,0.47738346457481384
28,1.3510891955996316,0.5744047619047619,1.3547005123562283,0.5277777777777778,0.0009528893909706791,0.4819774404168129
29,1.3310726710728236,0.5892857142857143,1.3211500379774306,0.5277777777777778,0.0009495236500015041,0.4793391600251198
30,1.300144977039761,0.6061507936507936,1.302491823832194,0.5833333333333334,0.0009460482294732414,0.47884079068899155
31,1.2812329284728519,0.6071428571428571,1.2750506930881076,0.5625,0.0009424639868939027,0.47753341495990753
32,1.2536900213786535,0.6299603174603174,1.2830952538384333,0.5,0.0009387718066217117,0.4777751564979553
33,1.2242273584244743,0.6517857142857143,1.2445580164591472,0.5486111111111112,0.000934972599646904,0.47927287966012955
34,1.1916091442108154,0.6597222222222222,1.228441662258572,0.5416666666666666,0.0009310673033669515,0.47872359305620193
35,1.1708817936125255,0.6795634920634921,1.2048682106865778,0.5486111111111112,0.0009270568813552751,0.48223381489515305
36,1.1354937723704748,0.6775793650793651,1.1088454988267686,0.6388888888888888,0.0009229423231234969,0.4763241484761238
37,1.1042299478773088,0.6765873015873016,1.099940299987793,0.6041666666666666,0.0009187246438772933,0.4772484228014946
38,1.0606129869582162,0.689484126984127,1.0716652340359158,0.6041666666666666,0.0009144048842659075,0.4761437475681305
39,1.029471507148137,0.7142857142857143,1.011190202501085,0.6805555555555556,0.0009099841101253861,0.4751911759376526
40,0.9993295196502928,0.7212301587301587,0.9828047222561307,0.6597222222222222,0.0009054634122155986,0.4755356162786484
41,0.9581894212298923,0.753968253968254,0.9377507103814019,0.6736111111111112,0.0009008439059511095,0.47725433111190796
42,0.9531488399656992,0.7361111111111112,0.9500554402669271,0.6527777777777778,0.0008961267311259662,0.4775691404938698
43,0.9094437266153003,0.75,0.8899312549167209,0.6597222222222222,0.0008913130516324728,0.47709136456251144
44,0.8734578036126637,0.7996031746031746,0.8555855221218533,0.6666666666666666,0.0008864040551740152,0.4738868698477745
45,0.8470355688579498,0.8134920634920635,0.8364241388108995,0.7083333333333334,0.000881400952972015,0.4749380648136139
46,0.8049175956892589,0.8263888888888888,0.7874858644273546,0.7083333333333334,0.0008763049794670771,0.47794630378484726
47,0.8171036158289228,0.814484126984127,0.7638727823893229,0.7569444444444444,0.0008711173920144113,0.47767598927021027
48,0.757485652726794,0.8611111111111112,0.7251914342244467,0.7986111111111112,0.0008658394705735983,0.4779633954167366
49,0.7478602973241655,0.8511904761904762,0.7073671552870009,0.8125,0.0008604725173927781,0.4777234047651291
50,0.734043162020426,0.8521825396825397,0.6696997748480903,0.7986111111111112,0.0008550178566873405,0.4780096635222435
51,0.7100465723446437,0.878968253968254,0.6540232764350044,0.8055555555555556,0.0008494768343131951,0.47963859885931015
52,0.7145579958718921,0.8640873015873016,0.6452910105387369,0.8263888888888888,0.0008438508174347005,0.47788921743631363
53,0.6756168916111901,0.8829365079365079,0.64155027601454,0.8055555555555556,0.0008381411941873374,0.4775458872318268
54,0.6600927634844704,0.8938492063492064,0.6048110326131185,0.8402777777777778,0.0008323493733352073,0.4818327873945236
55,0.6680104741974483,0.8859126984126984,0.6000446213616265,0.8194444444444444,0.0008264767839234405,0.4778442233800888
56,0.6248717724330841,0.9077380952380952,0.5715996954176161,0.8125,0.000820524874925601,0.4835686683654785
57,0.613144422334338,0.9077380952380952,0.555292977227105,0.8472222222222222,0.0008144951148861737,0.4838261306285858
58,0.5899913178549873,0.9216269841269841,0.566781202952067,0.8333333333333334,0.0008083889915582231,0.4814893826842308
59,0.589436305893792,0.9196428571428571,0.53610716925727,0.8611111111111112,0.0008022080115363123,0.4806470051407814
60,0.5651115254750327,0.9365079365079365,0.5260035196940104,0.8541666666666666,0.0007959536998847739,0.47954777628183365
