subject_id,correct,total,accuracy
1,16,16,1.0
2,16,16,1.0
3,16,16,1.0
4,16,16,1.0
5,10,16,0.625
6,15,16,0.9375
7,15,16,0.9375
8,13,16,0.8125
9,16,16,1.0
10,16,16,1.0
11,13,16,0.8125
12,15,16,0.9375
13,15,16,0.9375
14,15,16,0.9375
15,16,16,1.0
16,14,16,0.875
17,16,16,1.0
18,15,16,0.9375
