true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,30,0,0,1,0,4,1,0
2,0,35,0,1,0,0,0,0
3,0,2,33,0,1,0,0,0
4,0,1,0,30,1,0,1,3
5,0,0,1,2,33,0,0,0
6,2,0,1,0,0,32,1,0
7,3,0,1,3,0,1,27,1
8,0,0,1,4,1,0,0,30
