label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8450704225352113,36
1,2,0.9722222222222222,0.9210526315789473,0.9722222222222222,0.9459459459459458,36
2,3,0.9166666666666666,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
3,4,0.8333333333333334,0.7317073170731707,0.8333333333333334,0.7792207792207793,36
4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,36
5,6,0.8888888888888888,0.8648648648648649,0.8888888888888888,0.8767123287671232,36
6,7,0.75,0.9,0.75,0.8181818181818182,36
7,8,0.8333333333333334,0.8823529411764706,0.8333333333333334,0.8571428571428571,36
