true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,34,0,1,0,0,1,0,0
2,0,36,0,0,0,0,0,0
3,0,0,34,0,1,0,0,1
4,0,1,0,33,1,0,0,1
5,1,0,1,2,31,0,1,0
6,1,0,0,0,0,35,0,0
7,1,0,0,0,0,1,34,0
8,0,2,1,3,2,0,2,26
