label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
1,2,1.0,0.9230769230769231,1.0,0.9600000000000001,36
2,3,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
3,4,0.9166666666666666,0.868421052631579,0.9166666666666666,0.8918918918918918,36
4,5,0.8611111111111112,0.8857142857142857,0.8611111111111112,0.8732394366197184,36
5,6,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,36
6,7,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
7,8,0.7222222222222222,0.9285714285714286,0.7222222222222222,0.8125000000000001,36
