label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9014084507042254,36
1,2,0.9444444444444444,0.8947368421052632,0.9444444444444444,0.918918918918919,36
2,3,0.9722222222222222,0.9210526315789473,0.9722222222222222,0.9459459459459458,36
3,4,0.9722222222222222,0.875,0.9722222222222222,0.9210526315789473,36
4,5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,36
5,6,0.9166666666666666,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
6,7,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,36
7,8,0.7222222222222222,0.9285714285714286,0.7222222222222222,0.8125000000000001,36
