label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9722222222222222,0.8974358974358975,0.9722222222222222,0.9333333333333333,36
1,2,1.0,0.972972972972973,1.0,0.9863013698630138,36
2,3,1.0,1.0,1.0,1.0,36
3,4,0.9166666666666666,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
4,5,1.0,0.9473684210526315,1.0,0.972972972972973,36
5,6,0.9444444444444444,1.0,0.9444444444444444,0.9714285714285714,36
6,7,0.9166666666666666,0.9705882352941176,0.9166666666666666,0.9428571428571428,36
7,8,0.9166666666666666,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
