true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,31,0,2,1,0,2,0,0
2,1,34,0,1,0,0,0,0
3,0,0,36,0,0,0,0,0
4,0,2,0,34,0,0,0,0
5,0,0,1,1,32,0,0,2
6,2,0,1,0,0,32,1,0
7,1,2,0,0,0,0,32,1
8,0,2,1,1,0,0,1,31
