label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,36
1,2,1.0,0.9230769230769231,1.0,0.9600000000000001,36
2,3,1.0,1.0,1.0,1.0,36
3,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,36
4,5,1.0,0.972972972972973,1.0,0.9863013698630138,36
5,6,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,36
6,7,0.9166666666666666,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
7,8,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
