label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9722222222222222,0.875,0.9722222222222222,0.9210526315789473,36
1,2,0.9166666666666666,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
2,3,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,36
3,4,0.9166666666666666,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
4,5,0.9722222222222222,0.8333333333333334,0.9722222222222222,0.8974358974358975,36
5,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9577464788732395,36
6,7,0.9166666666666666,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
7,8,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001,36
