label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,36
1,2,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,36
2,3,1.0,1.0,1.0,1.0,36
3,4,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
4,5,1.0,0.972972972972973,1.0,0.9863013698630138,36
5,6,0.9444444444444444,0.8947368421052632,0.9444444444444444,0.918918918918919,36
6,7,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.9142857142857143,36
7,8,0.8888888888888888,0.9696969696969697,0.8888888888888888,0.927536231884058,36
