label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
1,2,0.9444444444444444,0.85,0.9444444444444444,0.8947368421052632,36
2,3,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
3,4,0.8888888888888888,0.8205128205128205,0.8888888888888888,0.8533333333333333,36
4,5,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
5,6,0.9444444444444444,0.8717948717948718,0.9444444444444444,0.9066666666666667,36
6,7,0.8888888888888888,0.9696969696969697,0.8888888888888888,0.927536231884058,36
7,8,0.8611111111111112,0.9117647058823529,0.8611111111111112,0.8857142857142858,36
