label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8611111111111112,0.9117647058823529,0.8611111111111112,0.8857142857142858,36
1,2,0.9166666666666666,0.868421052631579,0.9166666666666666,0.8918918918918918,36
2,3,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,36
3,4,0.7777777777777778,0.8,0.7777777777777778,0.7887323943661971,36
4,5,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,36
5,6,0.8888888888888888,0.8648648648648649,0.8888888888888888,0.8767123287671232,36
6,7,0.9444444444444444,0.85,0.9444444444444444,0.8947368421052632,36
7,8,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8450704225352113,36
