subject_id,correct,total,accuracy
1,15,16,0.9375
2,16,16,1.0
3,10,16,0.625
4,14,16,0.875
5,12,16,0.75
6,13,16,0.8125
7,15,16,0.9375
8,14,16,0.875
9,11,16,0.6875
10,16,16,1.0
11,15,16,0.9375
12,15,16,0.9375
13,15,16,0.9375
14,15,16,0.9375
15,14,16,0.875
16,14,16,0.875
17,15,16,0.9375
18,14,16,0.875
