true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,31,0,0,0,0,4,1,0
2,0,33,0,1,0,0,2,0
3,0,1,35,0,0,0,0,0
4,0,3,0,28,2,1,1,1
5,0,0,1,3,30,0,0,2
6,3,0,0,0,0,32,1,0
7,0,0,0,0,0,0,34,2
8,0,1,0,3,1,0,1,30
