true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,35,0,0,0,0,1,0,0
2,0,34,0,1,0,0,0,1
3,0,0,36,0,0,0,0,0
4,0,0,0,34,0,0,0,2
5,0,0,0,0,36,0,0,0
6,2,0,0,0,0,34,0,0
7,0,0,0,0,0,1,33,2
8,0,0,0,1,1,0,0,34
