label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.9722222222222222,0.8974358974358975,0.9722222222222222,0.9333333333333333,36
1,2,0.9722222222222222,0.8974358974358975,0.9722222222222222,0.9333333333333333,36
2,3,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,36
3,4,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9014084507042254,36
4,5,1.0,0.972972972972973,1.0,0.9863013698630138,36
5,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9577464788732395,36
6,7,0.8611111111111112,1.0,0.8611111111111112,0.9253731343283582,36
7,8,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9014084507042254,36
