true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,31,0,0,0,0,5,0,0
2,0,33,1,1,0,0,0,1
3,0,2,32,0,2,0,0,0
4,0,1,1,31,1,0,1,1
5,0,0,1,3,29,0,1,2
6,2,0,0,0,0,34,0,0
7,0,0,0,0,1,3,29,3
8,0,0,0,3,2,0,0,31
