subject_id,correct,total,accuracy
1,16,16,1.0
2,15,16,0.9375
3,10,16,0.625
4,15,16,0.9375
5,14,16,0.875
6,14,16,0.875
7,15,16,0.9375
8,14,16,0.875
9,12,16,0.75
10,16,16,1.0
11,14,16,0.875
12,15,16,0.9375
13,14,16,0.875
14,16,16,1.0
15,12,16,0.75
16,14,16,0.875
17,16,16,1.0
18,12,16,0.75
