label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8333333333333334,0.9375,0.8333333333333334,0.8823529411764706,36
1,2,0.9444444444444444,0.8717948717948718,0.9444444444444444,0.9066666666666667,36
2,3,0.9166666666666666,0.9705882352941176,0.9166666666666666,0.9428571428571428,36
3,4,0.8055555555555556,0.8529411764705882,0.8055555555555556,0.8285714285714286,36
4,5,0.7777777777777778,0.9655172413793104,0.7777777777777778,0.8615384615384615,36
5,6,0.9444444444444444,0.8292682926829268,0.9444444444444444,0.883116883116883,36
6,7,0.8888888888888888,0.8421052631578947,0.8888888888888888,0.8648648648648649,36
7,8,0.9444444444444444,0.8292682926829268,0.9444444444444444,0.883116883116883,36
