true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,30,0,1,0,0,5,0,0
2,0,35,0,1,0,0,0,0
3,0,1,31,0,2,0,2,0
4,0,1,0,31,1,0,1,2
5,0,0,0,5,30,0,0,1
6,2,0,0,0,0,34,0,0
7,1,0,1,0,0,4,27,3
8,0,2,2,4,2,0,0,26
