label,gesture_id,accuracy,precision,recall,f1,support
0,1,0.8611111111111112,0.9117647058823529,0.8611111111111112,0.8857142857142858,36
1,2,0.9444444444444444,0.8292682926829268,0.9444444444444444,0.883116883116883,36
2,3,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,36
3,4,0.8333333333333334,0.8823529411764706,0.8333333333333334,0.8571428571428571,36
4,5,0.9166666666666666,0.9705882352941176,0.9166666666666666,0.9428571428571428,36
5,6,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,36
6,7,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,36
7,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,36
