true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,33,0,1,0,0,2,0,0
2,0,34,0,1,0,0,0,1
3,0,1,32,0,2,0,0,1
4,0,3,0,30,1,0,0,2
5,0,0,0,3,31,0,1,1
6,3,0,0,0,0,33,0,0
7,2,1,0,0,0,1,31,1
8,0,1,0,1,1,0,1,32
