true_gesture,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8
1,31,0,1,0,0,3,1,0
2,0,34,0,1,0,0,1,0
3,0,2,33,0,1,0,0,0
4,0,1,0,33,0,0,1,1
5,0,0,1,3,30,0,1,1
6,1,0,0,0,0,35,0,0
7,1,0,0,0,0,1,31,3
8,0,1,0,3,1,0,0,31
